interf_type,anchor_Q1,anchor_Q3,anchor_accession,anchor_name,interf_accession,interf_name,source_area,source_rt,interf_area,interf_rt,transition_similarity,transition_ratio,normalized_overlap,interf_ratio,interf_level,anchor_rt
isomer,117,73,HMDB0000202,Methylmalonic acid,HMDB0000254,Succinic acid,160004.687592884,10.534,162098.819159374,10.534,0.999322625305819,1.013088,0.0392628058102535,0.39288193391495,slight,10.086
isomer,124,80,HMDB0060665,Isonicotinic acid,HMDB0001488,Nicotinic acid,1715263.67008899,6.181,1721452.61429594,6.181,0.999303873607558,1.003608,0.978849100706955,1.41038098801895,severe,6.213
isomer,120.1,56,HMDB0000719,L-Homoserine,HMDB0000167,L-Threonine,83636.0476708259,9.095,130579.50618002,9.095,0.999271262677084,1.561283,0.5464518195201,0.934555000880321,severe,9.223
isomer,131.1,85,HMDB0001624,2-Hydroxycaproic acid,HMDB0000746,Hydroxyisocaproic acid,6357445.11572285,3.553,6189409.81997808,3.553,0.999249430889468,0.9735687,0.74065507307741,1.09486045278688,severe,3.425
isomer,149.1,105,HMDB0011743,2-Phenylpropionate,HMDB0000764,Hydrocinnamic acid,955815.886971774,3.233,972673.279895698,3.233,0.99918306857557,1.017637,0.648738989930775,4.30040745692431,severe,3.297
isotope,140,122,HMDB0002658,6-Hydroxynicotinic acid,HMDB0000301,Urocanic acid,2142291.12736683,8.263,180309.854655169,8.263,0.999140925892378,0.08416683,0.899364893181252,0.156200763116211,slight,8.327
isomer,132.1,86,HMDB0000172,L-Isoleucine,HMDB0000687,L-Leucine,1296677.03547106,7.014,1291791.87471915,6.982,0.999140805520045,0.9962326,0.183760892366657,0.949507710603902,severe,7.27
isomer,141,53,HMDB0006331,"cis,cis-Muconic acid",HMDB0002349,trans-trans-Muconic acid,154757.848541729,10.662,154389.403999212,10.662,0.999053216520386,0.9976192,0.271267437476143,1.32914117464628,severe,10.855
isotope,132,88,HMDB0000191,L-Aspartic acid,HMDB0001844,Methylsuccinic acid,774636.003716553,10.118,57583.7760635881,10.086,0.998958806177143,0.07433656,0.480417362523011,0.0966248563931272,slight,9.958
fragment,115,71,HMDB0000134,Fumaric acid,HMDB0000156,Malic acid,1968714.62126336,10.983,172183.34017366,10.983,0.998522465061131,0.08745978,0.79516279185193794,1.67221188534666,severe,11.047
fragment,147.1,84,HMDB0000641,L-Glutamine,HMDB0000446,N-alpha-Acetyl-L-lysine,3933153.20765243,9.223,200387.386121035,9.223,0.99851279824179,0.05094828,0.546604646327262,0.149609472356272,slight,9.351
isomer,180.1,162,HMDB0001514,Glucosamine,PBCM0000440049,"(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal",884411.719274842,9.095,904609.262959457,9.095,0.998496750243646,1.022837,0.902647305819211,5.63868892362523,severe,8.999
isomer,193,59,HMDB0000127,D-Glucuronic acid,HMDB0002545,Galacturonic acid,484142.095761764,10.534,477391.727431383,10.534,0.99845054078328,0.9860571,0.826623517130959,1.28981376282408,severe,10.406
isomer,151.1,89,HMDB0002917,D-Xylitol,HMDB0000508,Ribitol,201087.463856522,7.716,200827.161819647,7.716,0.998389740574471,0.9987055,0.963471910336319,0.714437968502555,severe,7.748
isotope,205.1,146,HMDB0000929,L-Tryptophan,HMDB0000201,L-Acetylcarnitine,18069668.7874803,7.078,189631.804259982,7.078,0.998381577854295,0.01049448,0.185288420832573,0.175996860118448,slight,7.462
fragment,102.1,56,HMDB0036458,1-Aminocyclopropanecarboxylic acid,HMDB0000167,L-Threonine,83636.0476708259,9.095,32064.4384406842,9.095,0.998131021907822,0.3833806,0.129407182670653,0.162665541988062,slight,8.775
isobar,149.1,105,HMDB0000764,Hydrocinnamic acid,HMDB0001587,Phenylglyoxylic acid,8033626.4239533,3.361,208880.084909565,3.361,0.998048277650669,0.02600072,0.333897247876446,0.21853589980738,slight,3.233
isobar,189.1,130,HMDB0006029,N-Acetylglutamine,HMDB0000206,N6-Acetyl-L-lysine,2921185.43370404,8.327,43033.5445671992,8.327,0.997992060631546,0.01473153,0.551558424577737,0.0490530040397808,slight,8.199
isotope,160,116,HMDB0002285,2-Indolecarboxylic acid,HMDB0002441,"3,3-Dimethylglutaric acid",10302152.1021002,4.321,149035.465054691,4.321,0.997605669338242,0.01446644,0.920671813569283,0.0314801183378262,slight,4.385
fragment,148.1,84,HMDB0000148,L-Glutamic acid,HMDB0001138,N-Acetyl-L-glutamic acid,544893.864672338,10.12,116099.012135421,10.12,0.997382047026387,0.2130672,0.0408347152852411,0.300425820123749,slight,9.832
fragment,136.1,119,HMDB0000034,Adenine,HMDB0000050,Adenosine,13175678.0024158,4.868,520783.712630736,4.868,0.997187638858202,0.03952614,0.990805231610775,0.112134847672757,slight,4.868
fragment,147,103,HMDB0000567,Cinnamic acid,HMDB0033752,3-(2-Hydroxyphenyl)propanoic acid,9713153.10608123,3.393,21591.9898514657,3.393,0.997176408505735,0.002222964,0.995216125761787,0.00599685429785964,slight,3.393
isobar,149.1,105,HMDB0011743,2-Phenylpropionate,HMDB0001587,Phenylglyoxylic acid,8033626.4239533,3.361,244322.408300009,3.361,0.99711638286854,0.03041247,0.875359851444106,1.08020434843212,severe,3.297
fragment,132.1,86,HMDB0000172,L-Isoleucine,HMDB0000759,Glycylleucine,1070059.12169056,7.334,455986.67040668,7.366,0.996825083848106,0.4261322,0.75588680417737,0.335164563237306,slight,7.27
fragment,90.1,44,HMDB0000271,Sarcosine,HMDB0000064,Creatine,2958908.89084875,8.903,65839.5322236142,8.903,0.996481179419237,0.02225129,0.0752758311636931,0.607855073649752,severe,8.583
isobar,132.1,86,HMDB0000687,L-Leucine,HMDB0000766,N-Acetyl-L-alanine,1432084.36061093,7.14,34901.4324452456,7.142,0.99622805222511,0.02437107,0.531144080867612,0.0269160565742313,slight,7.014
isomer,101,57,HMDB0000060,Acetoacetic acid,HMDB0000005,2-Ketobutyric acid,51776.5813083806,4.514,43361.8507561981,4.514,0.996146481140366,0.83748,0.194301101269709,4.89087921523348,severe,4.129
fragment,111,42,HMDB0000300,Uracil,HMDB0000012,Deoxyuridine,846963.692369831,3.809,94667.0702748627,3.809,0.995980921467241,0.1117723,0.869540992447907,0.0514832636413078,slight,3.745
fragment,150.1,104,HMDB0000696,L-Methionine,HMDB0000684,L-Kynurenine,536425.91732554,7.11,19382.0371936421,7.11,0.99570765643229,0.03613181,0.0390291003005975,0.0443935224319459,slight,7.558
fragment,132.1,86,HMDB0000687,L-Leucine,HMDB0000759,Glycylleucine,1070059.12169056,7.334,443626.272735214,7.366,0.995555875936077,0.4145811,0.11619238328139,0.342125495092193,slight,7.014
fragment,130.1,56,HMDB0000716,L-Pipecolic acid,HMDB0006029,N-Acetylglutamine,877286.629220508,8.199,41266.4008805896,8.199,0.995542098103626,0.04703868,0.0187123367322494,0.544038961283041,severe,7.75
isomer,138.1,92,HMDB0000875,Trigonelline,HMDB0001392,p-Aminobenzoic acid,67830.6519287535,7.428,48845.6201552735,7.43,0.995456137966473,0.7201113,0.697906332272722,0.0230652430771891,slight,7.302
isobar,128,82,HMDB0000267,Pyroglutamic acid,HMDB0000716,L-Pipecolic acid,75851.9220448265,7.75,7153.39362792486,7.748,0.995142994682595,0.09430735,0.504643385828304,0.552420167872398,severe,7.94
fragment,166.1,108,HMDB0001545,Pyridoxal,HMDB0000239,Pyridoxine,8116396.91251641,3.395,881341.615688254,3.425,0.994848877882568,0.1085878,0.975585862380768,0.120694269777627,slight,3.425
isomer,180.1,162,PBCM0000440049,"(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal",HMDB0001514,Glucosamine,345460.62779192,8.999,335471.134586071,8.999,0.994548727415558,0.9710836,0.896014819478748,0.379315569066786,slight,9.095
isomer,131,87,HMDB0011733,Glycyl-glycine,HMDB0000168,L-Asparagine,163794.235607809,9.544,3197.54828669872,9.574,0.993534278044344,0.01952174,0.0887512904657855,0.00967296759958328,slight,9.317
isobar,132.1,86,HMDB0000172,L-Isoleucine,HMDB0000766,N-Acetyl-L-alanine,1432084.36061093,7.14,35750.7787172831,7.142,0.993184454529579,0.02496416,0.54443479877142,0.026277948264332,slight,7.27
fragment,118.1,91,HMDB0000738,Indole,HMDB0013318,Tryptophanamide,5139098.31795485,3.587,18657.6262808987,3.587,0.992949761784261,0.003630525,0.619789558919558,18.2742587681476,severe,3.683
fragment,147,103,HMDB0000567,Cinnamic acid,HMDB0000512,N-Acetyl-L-phenylalanine,2633172.23505023,3.651,350576.853460567,3.681,0.992379901876404,0.1331386,0.292676998602868,0.0973675110477321,slight,3.393
fragment,147.1,84,HMDB0000641,L-Glutamine,HMDB0000679,Homocitrulline,345302.326537134,9.351,47331.8619050065,9.351,0.991960968702659,0.1370737,0.982991906996898,0.0353380271199845,slight,9.351
fragment,163,119,HMDB0002035,4-Hydroxycinnamic acid,HMDB0000866,N-Acetyl-L-tyrosine,1815353.30343829,6.723,24996.1421583242,6.755,0.99177364394516,0.0137693,0.214300658490475,0.00721867120253428,slight,6.403
fragment,130.1,56,HMDB0000716,L-Pipecolic acid,HMDB0003011,O-Acetylserine,203892.209371965,7.75,7963.39040300451,7.75,0.991129195363249,0.03905686,0.982671079281771,0.104986006792265,slight,7.75
isotope,137,93,HMDB0002466,3-Hydroxybenzoic acid,HMDB0001392,p-Aminobenzoic acid,67830.6519287535,7.428,16363.7445198609,7.428,0.990828368035147,0.2412441,0.15997631584342,0.02083807819809,slight,7.14
fragment,173.1,131,HMDB0003357,N2-Acetylornithine,HMDB0004620,N-a-Acetyl-L-arginine,3048803.52037569,9.063,226105.410177498,9.061,0.989996364835704,0.07416201,0.0269022672219375,0.168430989366784,slight,9.317
isomer,222.1,138,HMDB0001129,N-Acetylmannosamine,HMDB0000215,N-Acetyl-D-glucosamine,38059.1564931949,7.302,39177.3615460303,7.302,0.989861525101851,1.029381,0.55291987443441,1.84196413492399,severe,7.494
fragment,173,85,HMDB0000958,trans-Aconitic acid,HMDB0000193,Isocitric acid,320921.706691454,12.52,26227.3814770773,12.584,0.988544403281082,0.08172517,0.323962708964584,0.0999629810141613,slight,12.776
isomer,101,57,HMDB0000005,2-Ketobutyric acid,HMDB0000060,Acetoacetic acid,8865.86007299878,4.129,8148.7018005575,4.129,0.987350146329752,0.9191101,0.187794636368334,0.157381997703246,slight,4.514
fragment,115,71,HMDB0000134,Fumaric acid,HMDB0000828,Ureidosuccinic acid,239251.376237523,11.209,29022.655797752,11.239,0.986000162190315,0.1213061,0.150365952342902,1.07895739530702,severe,11.047
isobar,130.1,56,HMDB0000716,L-Pipecolic acid,HMDB0000267,Pyroglutamic acid,12949.1898448885,7.94,34656.091485191,7.942,0.984637205445589,2.676313,0.405291572801396,0.456891408298266,slight,7.75
fragment,121,93,HMDB0001870,Benzoic acid,HMDB0033752,3-(2-Hydroxyphenyl)propanoic acid,9713153.10608123,3.393,20149.4036407075,3.425,0.984580150466978,0.002074445,0.3505413272817,0.0441883526234665,slight,3.649
fragment,104.1,87,HMDB0000112,gamma-Aminobutyric acid,HMDB0003464,4-Guanidinobutanoic acid,1202284.80562336,9.095,28131.6471868425,9.159,0.984070596293497,0.02339849,0.359058217664554,0.0725997167075918,slight,9.351
fragment,118.1,55,HMDB0000883,L-Valine,HMDB0028854,Glycylvaline,704006.66905475,8.006,5012.33833938354,8.038,0.98277067496358,0.007119731,0.540355314633559,0.438951273291741,slight,7.91
isomer,149.1,105,HMDB0000764,Hydrocinnamic acid,HMDB0011743,2-Phenylpropionate,226181.655956704,3.297,230287.384017093,3.297,0.982752106942145,1.018152,0.65546561876298,0.240932785441234,slight,3.233
isobar,131,87,HMDB0011733,Glycyl-glycine,HMDB0000223,Oxalacetic acid,6254.17627725273,8.997,4472.44779302664,8.997,0.97668880236983,0.7151138,0.297124174364562,0.0135296917243554,slight,9.317
fragment,137,93,HMDB0000500,4-Hydroxybenzoic acid,HMDB0000291,Vanillylmandelic acid,1324339.88487628,7.236,29276.7703767515,7.236,0.976633459650733,0.02210669,0.191084634057884,0.0452006740982032,slight,7.652
fragment,184.1,125,HMDB0001565,Phosphorylcholine,HMDB0001413,Citicoline,2851707.30633153,9.992,154074.464145186,9.992,0.976192160959723,0.05402885,0.264483753925081,0.12086265449829,slight,9.8
isomer,222.1,138,HMDB0000215,N-Acetyl-D-glucosamine,HMDB0001129,N-Acetylmannosamine,21269.3400502323,7.494,22944.7669474433,7.462,0.975414772145004,1.078772,0.606188840603601,0.602871136977139,severe,7.302
fragment,137,93,HMDB0002466,3-Hydroxybenzoic acid,HMDB0000291,Vanillylmandelic acid,1324339.88487628,7.236,16474.3431039445,7.236,0.974610654296841,0.01243966,0.714771880869228,0.0209789177193215,slight,7.14
isotope,139.1,121,HMDB0000301,Urocanic acid,HMDB0001065,2-Hydroxyphenethylamine,595700.630172295,8.006,42156.607727294,8.006,0.966545744359804,0.07076811,0.150160189117898,0.0196782814383917,slight,8.263
isotope,148.1,84,HMDB0000148,L-Glutamic acid,HMDB0000641,L-Glutamine,1339403.06696519,9.351,9297.16798875187,9.351,0.962443257395926,0.006941277,0.162873634184097,0.0240579938319466,slight,9.832
fragment,141,123,HMDB0000469,5-Hydroxymethyluracil,HMDB0000296,Uridine,1494886.7567272,5.41,2832.53821893995,5.41,0.960627214153753,0.001894818,0.943852921314422,0.00598155401301437,slight,5.41
fragment,348.1,136,HMDB0000045,Adenosine monophosphate,HMDB0000902,"NAD",1098977.96930556,9.512,185412.473250484,9.544,0.959684425273501,0.1687135,0.502087627898023,0.04233881239419,slight,9.672
fragment,335.1,123,HMDB0000229,Nicotinamide ribotide,HMDB0000902,"NAD",1098977.96930556,9.512,29106.7555311658,9.544,0.956687508887715,0.02648529,0.0203551972900827,0.0119932320686071,slight,9.928
fragment,147.1,84,HMDB0000641,L-Glutamine,HMDB0028685,Alanylglutamine,1508191.39669779,8.997,256607.87836388,9.031,0.954278805579715,0.1701428,0.0155980097762046,0.191583761970398,slight,9.351
fragment,127.1,110,HMDB0000262,Thymine,HMDB0000273,Thymidine,221025.709334115,3.233,729361.299196104,3.267,0.95202639866777,3.299893,0.82207280868093,6.74667226705906,severe,3.203
fragment,173.1,131,HMDB0003357,N2-Acetylornithine,HMDB0004620,N-a-Acetyl-L-arginine,3758639.66348012,9.063,228589.813003478,9.029,0.95092517292507,0.06081717,0.0128862310130524,0.170281676732632,slight,9.317
fragment,166.1,108,HMDB0001545,Pyridoxal,HMDB0000239,Pyridoxine,9778988.47069235,3.395,342932.223186023,3.425,0.946508506434927,0.03506827,0.988862124267022,0.0469624417182811,slight,3.425
isomer,180.1,162,PBCM0000440049,"(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal",HMDB0001514,Glucosamine,160429.006673747,8.999,174806.343860656,9.223,0.944816331266885,1.089618,0.878185182090764,0.19765267697265,slight,9.095
fragment,61,44,HMDB0000294,Urea,HMDB0001015,N-Formyl-L-methionine,1544348.90171345,5.41,39797.3042170943,5.38,0.943385021456625,0.02576963,0.827139573351666,0.2319039343147,slight,5.508
fragment,173.1,58,HMDB0006028,N-Acetylasparagine,HMDB0004620,N-a-Acetyl-L-arginine,3758639.66348012,9.063,9870.07874677072,8.997,0.941264595836029,0.002625971,0.00169194042312995,0.0224937777638876,slight,8.549
isomer,180.1,162,PBCM0000440049,"(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal",HMDB0001514,Glucosamine,160429.006673747,8.999,134411.942512684,8.967,0.93956427691113,0.8378282,0.882020094268827,0.151978925180789,slight,9.095
fragment,508,136,HMDB0000538,Adenosine triphosphate,HMDB0000217,"NADP",589932.048690853,11.209,36973.94126027,11.209,0.934930818325676,0.06267492,0.927188904714891,0.197226841912989,slight,11.273
fragment,126.1,109,HMDB0002894,5-Methylcytosine,HMDB0002224,5-Methyldeoxycytidine,1135114.2184488,5.637,3933097.412086,5.573,0.933191941034781,3.464935,0.725145146879393,1.89489353195599,severe,5.765
fragment,136,92,HMDB0001392,p-Aminobenzoic acid,HMDB0000291,Vanillylmandelic acid,1324339.88487628,7.236,24824.101410464,7.268,0.930415734756079,0.01874451,0.608140635235041,0.365971735558995,slight,7.428
fragment,130.1,56,HMDB0000716,L-Pipecolic acid,HMDB0028854,Glycylvaline,704006.66905475,8.006,3637.58292447842,8.006,0.922397103445638,0.005166972,0.283354030996089,0.0479563711296427,slight,7.75
fragment,102.1,56,HMDB0036458,1-Aminocyclopropanecarboxylic acid,HMDB0028685,Alanylglutamine,1508191.39669779,8.997,1707.98215139657,9.063,0.916309245762552,0.00113247,0.174720974369858,0.00866473438718769,slight,8.775
fragment,139,79,HMDB0004110,Phosphonoacetate,HMDB0000263,Phosphoenolpyruvic acid,670868.514512106,11.815,3776.62519583087,11.815,0.914383172544338,0.005629457,0.740142778142511,0.0747343536623172,slight,11.751
fragment,61,44,HMDB0000294,Urea,HMDB0000296,Uridine,1494886.7567272,5.41,30161.1349694225,5.38,0.91091557415983,0.0201762,0.878936895734026,0.175752755127604,slight,5.508
fragment,130.1,56,HMDB0000716,L-Pipecolic acid,HMDB0003011,O-Acetylserine,64448.0484569774,7.75,2148.26234801281,7.718,0.902867053938663,0.03333324,0.792386878554182,0.0283217918557587,slight,7.75
fragment,160,116,HMDB0002285,2-Indolecarboxylic acid,HMDB0002302,Indole-3-propionic acid,2064804.05076163,4.42,39936.8613770412,4.642,0.902415618940763,0.01934172,0.897062885888328,0.0084356909392624,slight,4.385
fragment,117,73,HMDB0000202,Methylmalonic acid,HMDB0002545,Galacturonic acid,484142.095761764,10.534,3286.44105385821,10.47,0.887507116274895,0.006788175,0.419090245990996,0.00796540853063105,slight,10.086
isotope,109,108,HMDB0000957,Pyrocatechol,HMDB0001169,4-Aminophenol,1242964.07592637,2.882,147188.232336033,2.72,0.865479561692454,0.1184171,0.950834357530482,0.0141021681294539,slight,2.624
fragment,89,43,HMDB0000190,L-Lactic acid,HMDB0001129,N-Acetylmannosamine,21269.3400502323,7.494,13307.2227084393,7.396,0.861759185315417,0.6256528,0.968060902745827,0.0933485290982226,slight,7.396
isomer,180.1,162,PBCM0000440049,"(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal",HMDB0001514,Glucosamine,345460.62779192,8.999,326781.658457429,9.416,0.852971045671712,0.9459303,0.808287943053116,0.36949042096069,slight,9.095
fragment,115,71,HMDB0000134,Fumaric acid,HMDB0000663,Glucaric acid,738744.604027588,11.367,9220.84890323185,11.367,0.840713318130543,0.01248178,0.330142954360797,0.342797819209958,slight,11.047
isomer,180.1,162,PBCM0000440049,"(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal",HMDB0001514,Glucosamine,160429.006673747,8.999,142409.425243695,9.416,0.83764408570711,0.8876788,0.795310619298884,0.16102163974089,slight,9.095
fragment,124,80,HMDB0000251,Taurine,HMDB0304941,3-Amino-4-hydroxybenzoic acid,198398.696507368,9.287,86327.8196219802,9.253,0.830965510205908,0.4351229,0.939598218694867,0.0371409992493859,slight,9.253
fragment,173,85,HMDB0000072,cis-Aconitic acid,HMDB0000094,Citric acid,345276.582852104,12.136,25489.851266234,12.072,0.822995388744904,0.07382444,0.975937935636855,0.0100488695325388,slight,12.04
