interf_type,anchor_Q1,anchor_Q3,anchor_accession,anchor_name,interf_accession,interf_name,source_area,source_rt,interf_area,interf_rt,transition_similarity,transition_ratio
isomer,131,87,HMDB0001844,Methylsuccinic acid,HMDB0000661,Glutaric acid,372725.434807238,10.342,223606.898312915,10.342,0.999675863135461,0.5999239
isomer,141,53,HMDB0002349,trans-trans-Muconic acid,HMDB0006331,"cis,cis-Muconic acid",116157.265265896,10.855,119064.795314585,10.855,0.999671542638119,1.025031
isomer,167,123,HMDB0000130,Homogentisic acid,HMDB0029644,"2',4',6'-Trihydroxyacetophenone",19609672.493305,2.112,7489199.58888684,2.112,0.999664560681045,0.3819135
isomer,159.1,97,HMDB0000555,3-Methyladipic acid,HMDB0000857,Pimelic acid,549914.565840194,9.702,555915.58351363,9.702,0.999658865637604,1.010913
isotope,146.1,87,HMDB0000895,Acetylcholine,HMDB0002284,N-Acetylcadaverine,2547920.77563909,8.487,364300.514631185,8.487,0.999657887234493,0.1429795
isomer,117.1,71,HMDB0001987,2-Hydroxy-2-methylbutyric acid,HMDB0000407,2-Hydroxy-3-methylbutyric acid,2355307.70156582,4.45,2323355.82496686,4.45,0.999655857374052,0.9864341
isotope,190.1,84,HMDB0001138,N-Acetyl-L-glutamic acid,HMDB0000206,N6-Acetyl-L-lysine,2921185.43370404,8.327,95419.9934556316,8.327,0.999654264745039,0.03266482
isomer,160,116,HMDB0002285,2-Indolecarboxylic acid,HMDB0003320,Indole-3-carboxylic acid,8319335.76050011,5.474,6066602.38017466,5.474,0.999647477254007,0.7292172
isobar,115,71,HMDB0000019,alpha-Ketoisovaleric acid,HMDB0000176,Maleic acid,1980903.51007616,5.346,2300910.39516269,5.346,0.999646247095483,1.161546
isobar,146.1,87,HMDB0000895,Acetylcholine,HMDB0003464,4-Guanidinobutanoic acid,1202284.80562336,9.095,3342009.37422466,9.095,0.999639421155485,2.779715
isobar,131,87,HMDB0000223,Oxalacetic acid,HMDB0011733,Glycyl-glycine,330565.387899828,9.317,287805.883590407,9.317,0.999635869128708,0.8706474
isomer,129,85,HMDB0002092,Itaconic acid,HMDB0000634,Citraconic acid,3307022.82251127,5.282,1671476.41723981,5.282,0.999624521150415,0.5054324
isomer,115,71,HMDB0000134,Fumaric acid,HMDB0000176,Maleic acid,1980903.51007616,5.346,2185348.74330676,5.346,0.99962401533775,1.103208
isobar,173.1,131,HMDB0003357,N2-Acetylornithine,HMDB0006028,N-Acetylasparagine,438791.511607113,8.549,63820.0939549424,8.549,0.999595834612185,0.1454451
isobar,189.1,84,HMDB0000446,N-alpha-Acetyl-L-lysine,HMDB0006029,N-Acetylglutamine,877286.629220508,8.199,752979.324659032,8.199,0.999578200984392,0.8583048
isobar,190.1,130,HMDB0029738,Indole-3-methyl acetate,HMDB0001138,N-Acetyl-L-glutamic acid,544893.864672338,10.12,257030.660129564,10.12,0.999574939935267,0.4717078
isomer,121,93,HMDB0001870,Benzoic acid,HMDB0011718,4-Hydroxybenzaldehyde,16323114.486967,2.048,1293792.78791642,2.048,0.999567401858831,0.07926139
isomer,104.1,58,HMDB0001906,2-Aminoisobutyric acid,HMDB0000092,Dimethylglycine,703447.868166779,7.654,180631.931526203,7.654,0.999559726337611,0.2567808
isomer,131,87,HMDB0000661,Glutaric acid,HMDB0001844,Methylsuccinic acid,774636.003716553,10.118,1249598.13434955,10.118,0.999552957541957,1.613142
isobar,131,87,HMDB0011733,Glycyl-glycine,HMDB0000661,Glutaric acid,372725.434807238,10.342,355070.665894033,10.342,0.999552451763226,0.9526333
isobar,131,87,HMDB0000223,Oxalacetic acid,HMDB0000661,Glutaric acid,372725.434807238,10.342,313471.56416312,10.342,0.999548729664972,0.8410254
isobar,189.1,84,HMDB0000446,N-alpha-Acetyl-L-lysine,HMDB0000670,Homo-L-arginine,1666381.08443098,13.707,3573660.38659086,13.707,0.999544312144819,2.144564
isomer,160,116,HMDB0003320,Indole-3-carboxylic acid,HMDB0002285,2-Indolecarboxylic acid,4734272.70683451,4.385,7662418.88200121,4.385,0.999542554016965,1.6185
isotope,349.1,137,HMDB0000175,Inosinic acid,HMDB0000045,Adenosine monophosphate,4454956.82056764,9.672,90874.2818722588,9.672,0.999528621407061,0.02039847
isomer,175,87,HMDB0000044,Ascorbic acid,HMDB0031193,"1,2,3-Propanetricarboxylic acid",970677.179959814,12.232,664876.912560291,12.232,0.999526355788305,0.6849619
isobar,191.1,85,HMDB0003072,Quinic acid,HMDB0000094,Citric acid,345276.582852104,12.136,96931.2357812729,12.136,0.999517077197282,0.280735
isobar,189.1,84,HMDB0000446,N-alpha-Acetyl-L-lysine,HMDB0000670,Homo-L-arginine,1823392.34227697,13.707,3927097.09993794,13.707,0.999511731226308,2.153731
isomer,90.1,44,HMDB0000271,Sarcosine,HMDB0000161,L(D)-Alanine,102534.295048415,8.967,109226.470026328,8.967,0.999495524887283,1.065268
isotope,204.1,159,HMDB0013318,Tryptophanamide,HMDB0003334,Symmetric dimethylarginine,6691674.1105779,11.849,176355.952430669,11.849,0.999487480164414,0.02635453
isomer,151,107,HMDB0000669,ortho-Hydroxyphenylacetic acid,HMDB0004815,4-Hydroxy-3-methylbenzoic acid,3191737.71963243,6.499,2790208.09533596,6.499,0.999473810353553,0.8741972
isomer,103,57,HMDB0000729,alpha-Hydroxyisobutyric acid,HMDB0000008,2-Hydroxybutyric acid,241370.004452001,6.307,254535.692116228,6.307,0.999471067226577,1.054546
isobar,146.1,87,HMDB0000895,Acetylcholine,HMDB0003681,4-Acetamidobutanoic acid,922084.706325805,7.268,71709.3311749218,7.27,0.99946988759557,0.0777687
isobar,191,87,HMDB0000094,Citric acid,HMDB0003072,Quinic acid,585611.325810711,9.061,101890.95648665,9.061,0.99946553523831,0.1739908
isotope,176.1,70,HMDB0000904,Citrulline,HMDB0003357,N2-Acetylornithine,1342421.67090237,9.317,50126.4735916163,9.351,0.999454975131481,0.03734033
isobar,147.1,84,HMDB0000641,L-Glutamine,HMDB0000182,L-Lysine,1174326.1545554,13.291,1183417.24765967,13.323,0.99944002158840906,1.007742
isomer,137,93,HMDB0002466,3-Hydroxybenzoic acid,HMDB0000500,4-Hydroxybenzoic acid,647706.499092129,7.652,530925.190499596,7.652,0.999429919483234,0.8197003
isotope,125,80,HMDB0003903,2-Hydroxyethanesulfonate,HMDB0000251,Taurine,2324326.79159561,9.253,63429.5214629261,9.253,0.999416782501327,0.027289420000000002
isotope,167,79,HMDB0000263,Phosphoenolpyruvic acid,HMDB0000232,Quinolinic acid,1214786.62243846,10.598,44121.2643721671,10.598,0.999413623357442,0.03632018
isomer,151.1,89,HMDB0000508,Ribitol,HMDB0002917,D-Xylitol,281098.108826125,7.748,293605.634603404,7.748,0.999408224152507,1.044495
isotope,132,88,HMDB0000191,L-Aspartic acid,HMDB0000661,Glutaric acid,372725.434807238,10.342,16432.0584707485,10.342,0.999407081069345,0.04408623
isomer,159.1,115,HMDB0002441,"3,3-Dimethylglutaric acid",HMDB0000857,Pimelic acid,549914.565840194,9.702,159606.871388951,9.702,0.999397500698987,0.2902394
isotope,177,129,HMDB0000150,Gluconolactone,HMDB0001015,N-Formyl-L-methionine,1544348.90171345,5.41,128250.360486598,5.41,0.999389037193389,0.08304494
isotope,136,92,HMDB0001392,p-Aminobenzoic acid,HMDB0002340,2-Methylbenzoic acid,3995365.00956,3.745,132937.953675289,3.745,0.99938632422701,0.03327304
isobar,189.1,130,HMDB0006029,N-Acetylglutamine,HMDB0000670,Homo-L-arginine,1666381.08443098,13.707,278360.81816577,13.707,0.999369747347394,0.1670451
isobar,145.1,101,HMDB0000752,Methylglutaric acid,HMDB0000208,Oxoglutaric acid,660176.418177173,10.855,154497.877666674,10.855,0.999368397421853,0.2340251
isomer,90.1,44,HMDB0000271,Sarcosine,HMDB0000161,L(D)-Alanine,53626.3274724344,9.031,63165.4323479154,9.031,0.999347558310004,1.177881
isomer,117.1,71,HMDB0000407,2-Hydroxy-3-methylbutyric acid,HMDB0001987,2-Hydroxy-2-methylbutyric acid,1971027.39503884,4.706,1988464.68887516,4.706,0.999345137709327,1.008847
isobar,175.1,70,HMDB0000517,L-Arginine,HMDB0003357,N2-Acetylornithine,1342421.67090237,9.317,1329021.15814936,9.351,0.999338243781819,0.9900177
fragment,141,97,HMDB0002432,Sumiki's acid,HMDB0000857,Pimelic acid,549914.565840194,9.702,45070.099019863,9.702,0.999337070615858,0.08195837
fragment,116.1,70,HMDB0000162,L(D)-Proline,HMDB0000214,Ornithine,611955.407942848,12.938,230403.954808965,12.938,0.999331045929542,0.3765045
isomer,117,73,HMDB0000202,Methylmalonic acid,HMDB0000254,Succinic acid,160004.687592884,10.534,162098.819159374,10.534,0.999322625305819,1.013088
isobar,149.1,105,HMDB0011743,2-Phenylpropionate,HMDB0000956,Tartaric acid,467845.365422312,11.495,31876.9134417953,11.495,0.999310051599675,0.06813558
isobar,173,85,HMDB0000958,trans-Aconitic acid,HMDB0003070,Shikimic acid,269267.925351815,9.574,21212.6171505826,9.574,0.999305259765745,0.07877885
isomer,124,80,HMDB0060665,Isonicotinic acid,HMDB0001488,Nicotinic acid,1715263.67008899,6.181,1721452.61429594,6.181,0.999303873607558,1.003608
isomer,120.1,56,HMDB0000719,L-Homoserine,HMDB0000167,L-Threonine,83636.0476708259,9.095,130579.50618002,9.095,0.999271262677084,1.561283
isotope,160,116,HMDB0003320,Indole-3-carboxylic acid,HMDB0000555,3-Methyladipic acid,502845.521646081,9.734,36956.7187659471,9.734,0.9992609670631,0.07349517
isobar,131,87,HMDB0001844,Methylsuccinic acid,HMDB0011733,Glycyl-glycine,330565.387899828,9.317,137492.483664889,9.317,0.999258286846931,0.4159313
isomer,131.1,85,HMDB0001624,2-Hydroxycaproic acid,HMDB0000746,Hydroxyisocaproic acid,6357445.11572285,3.553,6189409.81997808,3.553,0.999249430889468,0.9735687
isobar,115,71,HMDB0000720,Levulinic acid,HMDB0000134,Fumaric acid,102967.41799438,11.047,58505.229930841,11.047,0.999240475289515,0.5681917
isobar,131,87,HMDB0000661,Glutaric acid,HMDB0011733,Glycyl-glycine,330565.387899828,9.317,325068.00058746,9.317,0.999240037267978,0.9833697
isotope,138.1,78,HMDB0029806,Methyl nicotinate,HMDB0000699,1-Methylnicotinamide,15579497.5568146,9.704,138187.038051917,9.704,0.999229210870045,0.008869801
isobar,173,85,HMDB0000072,cis-Aconitic acid,HMDB0003070,Shikimic acid,269267.925351815,9.574,25192.2229648813,9.574,0.999214441498682,0.0935582
fragment,155,111,HMDB0000226,Orotic acid,HMDB0006028,N-Acetylasparagine,438791.511607113,8.549,7531.60377859807,8.549,0.999187175275945,0.01716442
isomer,149.1,105,HMDB0011743,2-Phenylpropionate,HMDB0000764,Hydrocinnamic acid,955815.886971774,3.233,972673.279895698,3.233,0.99918306857557,1.017637
isobar,189.1,130,HMDB0006029,N-Acetylglutamine,HMDB0000670,Homo-L-arginine,1823392.34227697,13.707,311010.920307607,13.707,0.999182371525162,0.1705672
isotope,146.1,87,HMDB0003464,4-Guanidinobutanoic acid,HMDB0002284,N-Acetylcadaverine,2547920.77563909,8.487,226716.06976034,8.487,0.999178806040486,0.08898082
isotope,173.1,131,HMDB0003357,N2-Acetylornithine,HMDB0011756,N-Acetylleucine,10290786.2347186,4.001,722382.294975462,4.001,0.999178744068618,0.070197
isobar,132.1,86,HMDB0000172,L-Isoleucine,HMDB0000064,Creatine,2478306.62552632,8.903,30677.797416471,8.903,0.999167541436939,0.01237853
isobar,138.1,120,HMDB0001065,2-Hydroxyphenethylamine,HMDB0015687,Salicylamide,1257011.03694723,2.05,4690.90644965428,2.05,0.999146009261349,0.003731794
isotope,140,122,HMDB0002658,6-Hydroxynicotinic acid,HMDB0000301,Urocanic acid,2142291.12736683,8.263,180309.854655169,8.263,0.999140925892378,0.08416683
isomer,132.1,86,HMDB0000172,L-Isoleucine,HMDB0000687,L-Leucine,1296677.03547106,7.014,1291791.87471915,6.982,0.999140805520045,0.9962326
isobar,115,71,HMDB0000134,Fumaric acid,HMDB0000720,Levulinic acid,619916.650900505,6.179,589547.10090472,6.179,0.999110114270027,0.9510103
isomer,159.1,97,HMDB0000555,3-Methyladipic acid,HMDB0002441,"3,3-Dimethylglutaric acid",10302152.1021002,4.321,115135.677341899,4.321,0.99910453310699,0.01117589
isotope,349.1,137,HMDB0000175,Inosinic acid,HMDB0000045,Adenosine monophosphate,4379255.41047835,9.672,84364.1738029592,9.672,0.999086731163379,0.0192645
isobar,190.1,130,HMDB0002302,Indole-3-propionic acid,HMDB0001138,N-Acetyl-L-glutamic acid,544893.864672338,10.12,265119.870322125,10.12,0.999079189771212,0.4865532
isomer,177,129,HMDB0000150,Gluconolactone,HMDB0003466,L-Gulonolactone,395464.420301665,7.204,178356.310360579,7.204,0.999062577368037,0.4510047
isomer,141,53,HMDB0006331,"cis,cis-Muconic acid",HMDB0002349,trans-trans-Muconic acid,154757.848541729,10.662,154389.403999212,10.662,0.999053216520386,0.9976192
isotope,167,123,HMDB0029644,"2',4',6'-Trihydroxyacetophenone",HMDB0000232,Quinolinic acid,1214786.62243846,10.598,15637.7061548165,10.598,0.999051690675649,0.0128728
isobar,115,71,HMDB0000134,Fumaric acid,HMDB0000019,alpha-Ketoisovaleric acid,202100.799686421,3.553,208308.10483982,3.553,0.999045080317485,1.030714
isomer,138.1,92,HMDB0000875,Trigonelline,HMDB0029806,Methyl nicotinate,4391569.1843253,1.922,69940.2563654161,1.922,0.999035544430519,0.01592603
isomer,104.1,58,HMDB0000092,Dimethylglycine,HMDB0001906,2-Aminoisobutyric acid,193873.821161129,8.551,348849.860625798,8.551,0.9990076371457,1.799365
isomer,137,93,HMDB0001895,Salicylic acid,HMDB0002466,3-Hydroxybenzoic acid,785280.886476412,7.14,119863.962036706,7.14,0.998992017625827,0.1526383
isobar,132.1,86,HMDB0000687,L-Leucine,HMDB0000064,Creatine,2478306.62552632,8.903,28571.3260384577,8.903,0.998988918037655,0.01152857
isobar,132.1,86,HMDB0000172,L-Isoleucine,HMDB0000725,4-Hydroxyproline,210568.320399676,8.839,611431.690394684,8.839,0.998978494797685,2.903721
isotope,132,88,HMDB0000191,L-Aspartic acid,HMDB0001844,Methylsuccinic acid,774636.003716553,10.118,57583.7760635881,10.086,0.998958806177143,0.07433656
fragment,150.1,104,HMDB0000696,L-Methionine,HMDB0011745,N-Acetyl-L-methionine,303002.747948086,4.74,171441.788858464,4.74,0.998953121974838,0.5658094
isomer,141,97,HMDB0002432,Sumiki's acid,HMDB0002349,trans-trans-Muconic acid,154757.848541729,10.662,356179.778241528,10.694,0.998952857985089,2.30153
isotope,127.1,110,HMDB0000262,Thymine,HMDB0002894,5-Methylcytosine,2075629.7627055,5.765,121603.39158193,5.765,0.998951784972848,0.05858626
fragment,115,71,HMDB0000019,alpha-Ketoisovaleric acid,HMDB0000156,Malic acid,1968714.62126336,10.983,194401.588747685,10.983,0.998942712051797,0.09874544
isomer,153,109,HMDB0029666,"2,4-Dihydroxybenzoic acid",HMDB0000152,Gentisic acid,2753234.63793453,5.987,1606740.46573763,5.987,0.998937446111467,0.5835828
isobar,173,143,HMDB0001264,Dehydroascorbic acid,HMDB0003070,Shikimic acid,269267.925351815,9.574,16640.1691301774,9.574,0.998934318038241,0.06179781
isotope,177.1,160,HMDB0000259,Serotonin,HMDB0000904,Citrulline,958091.400581548,9.672,85485.2711940508,9.672,0.998928805443346,0.08922455
isomer,190.1,130,HMDB0029738,Indole-3-methyl acetate,HMDB0002302,Indole-3-propionic acid,2064804.05076163,4.42,2053033.05057103,4.42,0.998924820139828,0.9942992
fragment,166.1,120,HMDB0000159,L-Phenylalanine,HMDB0000512,N-Acetyl-L-phenylalanine,2633172.23505023,3.651,1065692.49768682,3.651,0.998922486235041,0.4047181
isotope,190.1,127,HMDB0000679,Homocitrulline,HMDB0000206,N6-Acetyl-L-lysine,2921185.43370404,8.327,25055.9509641704,8.327,0.998909790236723,0.008577323
fragment,147.1,84,HMDB0000182,L-Lysine,HMDB0000206,N6-Acetyl-L-lysine,2921185.43370404,8.327,60510.2326526517,8.327,0.998899403254202,0.02071427
fragment,130.1,56,HMDB0000716,L-Pipecolic acid,HMDB0000641,L-Glutamine,1339403.06696519,9.351,55381.3171913382,9.351,0.998877193207727,0.04134776
isotope,124,80,HMDB0060665,Isonicotinic acid,HMDB0001406,Niacinamide,855829.993626717,3.139,16974.1269885433,3.139,0.998877023259943,0.01983353
fragment,115,71,HMDB0000019,alpha-Ketoisovaleric acid,HMDB0000191,L-Aspartic acid,1059200.95737801,9.958,35943.1309305436,9.958,0.998868021429253,0.03393419
isomer,115,71,HMDB0000176,Maleic acid,HMDB0000134,Fumaric acid,102967.41799438,11.047,61039.3383527897,11.047,0.998839994020979,0.5928025
fragment,136.1,119,HMDB0000034,Adenine,HMDB0004825,p-Octopamine,4450242.97689288,9.48,159161.906550783,9.48,0.998811121479919,0.03576477
isomer,163,119,HMDB0002035,4-Hydroxycinnamic acid,HMDB0000205,Phenylpyruvic acid,15042591.2826327,3.104,38357.9911969794,3.104,0.998806470395511,0.002549959
fragment,162.1,85,HMDB0000062,L-Carnitine,HMDB0000962,Lipoamide,229237.111564724,1.986,7508.10394660092,1.986,0.998800832526461,0.03275257
isomer,124,78,HMDB0002243,Picolinic acid,HMDB0001488,Nicotinic acid,1715263.67008899,6.181,367562.718777532,6.181,0.998765238805939,0.2142893
isotope,145,101,HMDB0000208,Oxoglutaric acid,HMDB0003681,4-Acetamidobutanoic acid,922084.706325805,7.268,30168.1820281109,7.268,0.998746785725548,0.03271737
isotope,166,122,HMDB0000232,Quinolinic acid,HMDB0033752,3-(2-Hydroxyphenyl)propanoic acid,9713153.10608123,3.393,553109.158648454,3.393,0.998737996286712,0.05694435
isotope,160,116,HMDB0003320,Indole-3-carboxylic acid,HMDB0000857,Pimelic acid,549914.565840194,9.702,11683.2569223947,9.702,0.998623674754044,0.02124559
isotope,190.1,84,HMDB0001138,N-Acetyl-L-glutamic acid,HMDB0000670,Homo-L-arginine,1666381.08443098,13.707,80964.9764563211,13.707,0.998598435785592,0.04858731
isotope,145.1,101,HMDB0000422,2-Methylglutaric acid,HMDB0003681,4-Acetamidobutanoic acid,922084.706325805,7.268,35020.870341648,7.268,0.998593689103008,0.0379801
isomer,137,93,HMDB0000500,4-Hydroxybenzoic acid,HMDB0001895,Salicylic acid,26932197.5285781,3.169,29715637.0364333,3.169,0.998584954254727,1.10335
isomer,138.1,78,HMDB0029806,Methyl nicotinate,HMDB0000875,Trigonelline,2117715.386385,7.302,591462.455048088,7.302,0.998553986888497,0.2792927
fragment,115,71,HMDB0000134,Fumaric acid,HMDB0000156,Malic acid,1968714.62126336,10.983,172183.34017366,10.983,0.998522465061131,0.08745978
fragment,147.1,84,HMDB0000641,L-Glutamine,HMDB0000446,N-alpha-Acetyl-L-lysine,3933153.20765243,9.223,200387.386121035,9.223,0.99851279824179,0.05094828
fragment,141,97,HMDB0002432,Sumiki's acid,HMDB0000555,3-Methyladipic acid,502845.521646081,9.734,28982.1584667875,9.766,0.998505857957032,0.05763631
isobar,146.1,87,HMDB0003464,4-Guanidinobutanoic acid,HMDB0003681,4-Acetamidobutanoic acid,922084.706325805,7.268,39613.6450400172,7.27,0.99850223952844,0.04296096
isomer,180.1,162,HMDB0001514,Glucosamine,PBCM0000440049,"(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal",884411.719274842,9.095,904609.262959457,9.095,0.998496750243646,1.022837
isomer,193,59,HMDB0000127,D-Glucuronic acid,HMDB0002545,Galacturonic acid,484142.095761764,10.534,477391.727431383,10.534,0.99845054078328,0.9860571
fragment,141,97,HMDB0002432,Sumiki's acid,HMDB0000555,3-Methyladipic acid,502845.521646081,9.734,29170.9468811432,9.574,0.998429953170218,0.05801175
isobar,190.1,130,HMDB0029738,Indole-3-methyl acetate,HMDB0000679,Homocitrulline,345302.326537134,9.351,12147.6440318332,9.351,0.998405237859812,0.03517973
isomer,151.1,89,HMDB0002917,D-Xylitol,HMDB0000508,Ribitol,201087.463856522,7.716,200827.161819647,7.716,0.998389740574471,0.9987055
isotope,205.1,146,HMDB0000929,L-Tryptophan,HMDB0000201,L-Acetylcarnitine,18069668.7874803,7.078,189631.804259982,7.078,0.998381577854295,0.01049448
isobar,132.1,86,HMDB0000687,L-Leucine,HMDB0000725,4-Hydroxyproline,210568.320399676,8.839,602405.294208745,8.839,0.998356489187441,2.860854
