interf_type,anchor_Q1,anchor_Q3,anchor_accession,anchor_name,interf_accession,interf_name,source_area,source_rt,interf_area,interf_rt,transition_similarity,transition_ratio
isobar,190.1,130,HMDB0002302,Indole-3-propionic acid,HMDB0001138,N-Acetyl-L-glutamic acid,124459.515815366,5.466,56948.9591855572,5.466,0.999953257991287,0.4575701
isomer,115,71,HMDB0000019,alpha-Ketoisovaleric acid,HMDB0000720,Levulinic acid,40779.5921885986,4.867,42336.2878452399,4.867,0.999951163285631,1.038173
isotope,153,108,HMDB0000152,Gentisic acid,HMDB0001476,3-Hydroxyanthranilic acid,291983.556769101,4.616,8674.1878408107,4.616,0.999943436271327,0.0297078
isotope,190.1,84,HMDB0001138,N-Acetyl-L-glutamic acid,HMDB0000446,N-alpha-Acetyl-L-lysine,1313075.08561955,6.031,33551.8483189636,6.031,0.999943033379191,0.02555212
isotope,176.1,130,HMDB0000197,Indoleacetic acid,HMDB0028854,Glycylvaline,217434.23846135,5.529,25300.8136678644,5.529,0.99994210687244,0.1163608
isomer,151.1,89,HMDB0002917,D-Xylitol,HMDB0000508,Ribitol,47011.2136797835,5.495,43054.1416473043,5.495,0.999939965747039,0.9158271
isobar,115,71,HMDB0000134,Fumaric acid,HMDB0000720,Levulinic acid,40779.5921885986,4.867,42230.4525189084,4.867,0.999938848200623,1.035578
isobar,173,85,HMDB0000958,trans-Aconitic acid,HMDB0003070,Shikimic acid,61939.6841367679,5.495,5149.38226914332,5.495,0.999935374786327,0.08313543
isobar,131,87,HMDB0000661,Glutaric acid,HMDB0011733,Glycyl-glycine,61231.8235207399,5.684,64342.9678378648,5.684,0.999928667497657,1.050809
isomer,151,107,HMDB0004815,4-Hydroxy-3-methylbenzoic acid,HMDB0000669,ortho-Hydroxyphenylacetic acid,572987.991078803,2.982,555802.068876664,2.982,0.999926268935196,0.9700065
isomer,190.1,130,HMDB0002302,Indole-3-propionic acid,HMDB0029738,Indole-3-methyl acetate,728443.779923228,2.701,733716.411229147,2.701,0.999924349661214,1.007238
isotope,190,144,HMDB0000715,Kynurenic acid,HMDB0006029,N-Acetylglutamine,193676.295311008,5.277,2618.51822733229,5.277,0.999920774919153,0.01352008
isobar,173.1,131,HMDB0003357,N2-Acetylornithine,HMDB0006028,N-Acetylasparagine,101831.592080403,5.37,15561.9561008944,5.37,0.999911199179405,0.1528205
isotope,160,116,HMDB0002285,2-Indolecarboxylic acid,HMDB0000555,3-Methyladipic acid,77882.7765239303,5.401,821.500588469669,5.37,0.999909784164313,0.01054791
isobar,131,87,HMDB0000223,Oxalacetic acid,HMDB0011733,Glycyl-glycine,61231.8235207399,5.684,57754.5546983265,5.684,0.999909212155607,0.9432114
isomer,137,93,HMDB0001895,Salicylic acid,HMDB0000500,4-Hydroxybenzoic acid,194483.9388601,4.678,182168.129185711,4.678,0.999895113225983,0.9366744
isomer,117,73,HMDB0000202,Methylmalonic acid,HMDB0000254,Succinic acid,40195.1066200323,5.495,42783.2486697069,5.495,0.999885115907761,1.064389
isomer,121,93,HMDB0001870,Benzoic acid,HMDB0011718,4-Hydroxybenzaldehyde,5545808.6457765,2.9505,516265.426365654,2.9505,0.999884052893939,0.0930911
isobar,146.1,87,HMDB0000895,Acetylcholine,HMDB0003464,4-Guanidinobutanoic acid,696107.853279472,6.031,1977821.18054142,6.031,0.999868167605828,2.841257
isomer,137,93,HMDB0000500,4-Hydroxybenzoic acid,HMDB0001895,Salicylic acid,2707159.96432501,2.7625,2820145.16440536,2.7625,0.999862955242272,1.041736
isotope,259.1,127,HMDB0000884,Ribothymidine,HMDB0000982,5-Methylcytidine,2198803.2904965,5.277,124699.098853402,5.277,0.999862209932563,0.05671226
isomer,151,107,HMDB0000669,ortho-Hydroxyphenylacetic acid,HMDB0004815,4-Hydroxy-3-methylbenzoic acid,1080187.59273299,4.4585,1027445.81152653,4.4585,0.99985556456402,0.9511735
isobar,131,87,HMDB0001844,Methylsuccinic acid,HMDB0011733,Glycyl-glycine,61231.8235207399,5.684,21085.9542450238,5.684,0.999853734412882,0.3443627
isobar,189.1,130,HMDB0006029,N-Acetylglutamine,HMDB0000446,N-alpha-Acetyl-L-lysine,1313075.08561955,6.031,89114.8924415261,6.031,0.999852035521215,0.06786732
isotope,140,122,HMDB0002658,6-Hydroxynicotinic acid,HMDB0000301,Urocanic acid,1200579.07954942,5.214,98199.7968639499,5.214,0.999843303557347,0.08179369
isomer,131,87,HMDB0001844,Methylsuccinic acid,HMDB0000661,Glutaric acid,34915.8278402284,5.495,16739.7845106594,5.495,0.999839063459373,0.4794326
isomer,104.1,58,HMDB0000092,Dimethylglycine,HMDB0001906,2-Aminoisobutyric acid,54879.8981369847,5.843,94790.2352004093,5.843,0.999837022422157,1.727231
fragment,189.1,144,HMDB0000670,Homo-L-arginine,HMDB0000929,L-Tryptophan,378708.605685183,5.277,51852.9854948981,5.277,0.99983387342802,0.1369205
fragment,204.1,159,HMDB0013318,Tryptophanamide,HMDB0000472,5-Hydroxy-L-tryptophan,369749.459206915,5.591,113119.461980987,5.591,0.999833104330033,0.3059354
isobar,190.1,84,HMDB0001138,N-Acetyl-L-glutamic acid,HMDB0000679,Homocitrulline,74772.6674892254,6.031,132469.906325859,6.031,0.999826427092279,1.771635
isotope,127.1,110,HMDB0000262,Thymine,HMDB0002894,5-Methylcytosine,1051355.57853612,5.152,68742.8856263797,5.152,0.999815606945883,0.065385
isobar,189.1,84,HMDB0000446,N-alpha-Acetyl-L-lysine,HMDB0006029,N-Acetylglutamine,193676.295311008,5.277,172700.520642087,5.277,0.999813870797863,0.8916967
isotope,146.1,87,HMDB0003464,4-Guanidinobutanoic acid,HMDB0002284,N-Acetylcadaverine,1426837.76503504,8.356,128199.682437538,8.356,0.999809808571499,0.08984882
isomer,137,93,HMDB0002466,3-Hydroxybenzoic acid,HMDB0001895,Salicylic acid,2707159.96432501,2.7625,1854781.83761199,2.7625,0.999805691240311,0.6851394
isomer,124,78,HMDB0002243,Picolinic acid,HMDB0060665,Isonicotinic acid,629451.31466127,4.837,11132.8658619947,4.837,0.999794786523715,0.01768662
fragment,118.1,55,HMDB0000883,L-Valine,HMDB0028854,Glycylvaline,217434.23846135,5.529,6352.41113300411,5.529,0.999785279060518,0.02921532
isomer,117.1,71,HMDB0001987,2-Hydroxy-2-methylbutyric acid,HMDB0000407,2-Hydroxy-3-methylbutyric acid,313792.285650717,4.49,306583.074021206,4.49,0.999763921656,0.9770255
isotope,160,116,HMDB0003320,Indole-3-carboxylic acid,HMDB0002441,"3,3-Dimethylglutaric acid",4023066.20190227,3.673,317140.249650385,3.673,0.999759597178583,0.07883048
isotope,349.1,137,HMDB0000175,Inosinic acid,HMDB0000045,Adenosine monophosphate,3744891.629353,5.56,83167.3944091791,5.56,0.999730993302011,0.02220822
fragment,130.1,56,HMDB0000716,L-Pipecolic acid,HMDB0001138,N-Acetyl-L-glutamic acid,124459.515815366,5.466,34809.6438668274,5.466,0.99971825598873,0.2796865
isobar,132.1,86,HMDB0000687,L-Leucine,HMDB0000064,Creatine,1617930.71807674,5.968,17886.2922773014,5.968,0.999716209819031,0.01105504
isobar,131,87,HMDB0000223,Oxalacetic acid,HMDB0000661,Glutaric acid,34915.8278402284,5.495,30647.7397308096,5.495,0.99971344182867,0.8777606
isotope,127.1,81,HMDB0002024,Imidazoleacetic acid,HMDB0002894,5-Methylcytosine,1051355.57853612,5.152,2591.90367818437,5.152,0.999712287911041,0.002465297
isobar,191,87,HMDB0000094,Citric acid,HMDB0003072,Quinic acid,666028.289160298,5.495,115947.522829379,5.495,0.999698120775311,0.174088
isomer,160,116,HMDB0003320,Indole-3-carboxylic acid,HMDB0002285,2-Indolecarboxylic acid,476941.50729063,4.05,862680.18819118,4.05,0.99968832343478,1.808776
isobar,146.1,87,HMDB0003464,4-Guanidinobutanoic acid,HMDB0000895,Acetylcholine,24793552.3433184,5.8115,11991825.2843261,5.8115,0.999683847530443,0.4836671
fragment,148.1,84,HMDB0000148,L-Glutamic acid,HMDB0001138,N-Acetyl-L-glutamic acid,124459.515815366,5.466,59895.2507645215,5.466,0.99968370815378,0.4812428
fragment,147.1,84,HMDB0000182,L-Lysine,HMDB0000446,N-alpha-Acetyl-L-lysine,1313075.08561955,6.031,109779.848300581,6.031,0.999681073944614,0.08360516
isomer,165.1,121,HMDB0033752,3-(2-Hydroxyphenyl)propanoic acid,HMDB0002199,Desaminotyrosine,48578.6261932865,4.553,14542.1048003129,4.553,0.999671561509244,0.2993519
isobar,131,87,HMDB0011733,Glycyl-glycine,HMDB0000661,Glutaric acid,34915.8278402284,5.495,35480.9355069612,5.495,0.999643536723091,1.016185
isobar,179,135,HMDB0001964,Caffeic acid,HMDB0011751,3-Methoxybenzenepropanoic acid,118782.710638257,4.05,33012.3949037197,4.05,0.999640251382406,0.2779226
isotope,125,80,HMDB0003903,2-Hydroxyethanesulfonate,HMDB0000251,Taurine,483371.483782999,5.621,12166.5090062681,5.621,0.99960583150038,0.0251701
isomer,131.1,85,HMDB0000746,Hydroxyisocaproic acid,HMDB0001624,2-Hydroxycaproic acid,1854718.45055904,4.2075,1903095.2794635,4.2075,0.999600881263382,1.026083
isomer,138.1,92,HMDB0000875,Trigonelline,HMDB0029806,Methyl nicotinate,3203720.96034826,2.953,58308.5177326724,2.953,0.999579114947553,0.01820025
isomer,137,93,HMDB0002466,3-Hydroxybenzoic acid,HMDB0000500,4-Hydroxybenzoic acid,194483.9388601,4.678,166898.502797789,4.678,0.999575483153207,0.8581609
isotope,349.1,137,HMDB0000175,Inosinic acid,HMDB0000045,Adenosine monophosphate,4025220.2384775,5.56,96766.6763150049,5.56,0.999572367916021,0.02404009
isobar,120,74,HMDB0001147,Aminomalonic acid,HMDB0000719,L-Homoserine,34225.9275615973,5.968,85135.4606344272,5.968,0.999560167183853,2.487455
isotope,146.1,87,HMDB0000895,Acetylcholine,HMDB0002284,N-Acetylcadaverine,1426837.76503504,8.356,211082.745103218,8.356,0.999537194355549,0.1479375
isotope,124,80,HMDB0060665,Isonicotinic acid,HMDB0001406,Niacinamide,2184995.09115425,4.272,42383.3526811078,4.209,0.999537035697225,0.01939746
isomer,159.1,97,HMDB0000857,Pimelic acid,HMDB0000555,3-Methyladipic acid,77882.7765239303,5.401,77344.3725998819,5.401,0.999522463812413,0.993087
isomer,180.1,162,HMDB0001514,Glucosamine,PBCM0000440049,"(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal",209377.087335808,6.22,218794.769285664,6.22,0.99950342116484,1.04498
isotope,152,108,HMDB0001476,3-Hydroxyanthranilic acid,HMDB0004815,4-Hydroxy-3-methylbenzoic acid,1080187.59273299,4.4585,88852.7665783722,4.4585,0.999484767412346,0.08225679
fragment,90.1,44,HMDB0000161,L(D)-Alanine,HMDB0028922,Leucylalanine,632654.601415837,4.963,794.486445859054,5.026,0.999480260584111,0.001255798
isotope,152,108,HMDB0001476,3-Hydroxyanthranilic acid,HMDB0000669,ortho-Hydroxyphenylacetic acid,572987.991078803,2.982,43982.9974369684,2.982,0.999478454777063,0.07676077
isobar,132.1,86,HMDB0000172,L-Isoleucine,HMDB0000064,Creatine,1617930.71807674,5.968,19545.0750522164,5.968,0.999474398883357,0.01208029
fragment,136.1,119,HMDB0000034,Adenine,HMDB0000905,Deoxyadenosine monophosphate,1931055.36799042,5.5595,420467.688206883,5.528,0.999455994648123,0.2177398
fragment,184.1,125,HMDB0001565,Phosphorylcholine,HMDB0000086,Glycerophosphocholine,7802521.95833148,5.968,163514.537082246,5.968,0.999441396552466,0.02095663
fragment,184.1,125,HMDB0001565,Phosphorylcholine,HMDB0001413,Citicoline,2978422.20211936,5.654,241223.441879772,5.654,0.999426104401832,0.08099035
isotope,177.1,160,HMDB0000259,Serotonin,HMDB0000904,Citrulline,165855.298641679,6.094,15930.2929708753,6.094,0.999425057281959,0.09604935
isotope,152,108,HMDB0001476,3-Hydroxyanthranilic acid,HMDB0000292,Xanthine,1168246.08683529,5.2125,13996.5275272021,5.2125,0.999369301434018,0.0119808
isomer,120.1,56,HMDB0000167,L-Threonine,HMDB0000719,L-Homoserine,34225.9275615973,5.968,31422.9728448229,5.968,0.999366882182008,0.9181043
isobar,176.1,130,HMDB0000197,Indoleacetic acid,HMDB0000904,Citrulline,165855.298641679,6.094,4401.10897178323,6.094,0.999347538300694,0.02653584
isotope,153,109,HMDB0029666,"2,4-Dihydroxybenzoic acid",HMDB0001476,3-Hydroxyanthranilic acid,291983.556769101,4.616,17334.9222575942,4.616,0.999305913702976,0.05936952
isomer,117.1,71,HMDB0000407,2-Hydroxy-3-methylbutyric acid,HMDB0001987,2-Hydroxy-2-methylbutyric acid,264892.510526375,4.5215,270859.213558267,4.553,0.999281777283812,1.022525
isobar,170,124,HMDB0002757,Cysteic acid,HMDB0000239,Pyridoxine,1561049.23919943,4.649,9685.02591098968,4.649,0.999260325371969,0.006204177
isomer,120.1,56,HMDB0000719,L-Homoserine,HMDB0000167,L-Threonine,17314.8821033733,5.9365,31666.177133949,5.9365,0.99923369580347,1.828842
isobar,173,143,HMDB0001264,Dehydroascorbic acid,HMDB0003070,Shikimic acid,61939.6841367679,5.495,3131.49004830664,5.495,0.999231953485117,0.05055709
fragment,129,85,HMDB0002092,Itaconic acid,HMDB0003070,Shikimic acid,61939.6841367679,5.495,223.512886795934,5.495,0.999231953485117,0.003608557
fragment,75,45,HMDB0000115,Glycolic acid,HMDB0003070,Shikimic acid,61939.6841367679,5.495,173.818521631638,5.495,0.999231953485115,0.002806255
isomer,124,80,HMDB0060665,Isonicotinic acid,HMDB0001488,Nicotinic acid,674701.110203058,4.837,617594.863971704,4.8685,0.999230709848902,0.9153607
isobar,131,87,HMDB0000223,Oxalacetic acid,HMDB0001844,Methylsuccinic acid,116795.591447069,5.37,186003.600945364,5.37,0.999213148301274,1.592557
isobar,138.1,120,HMDB0001065,2-Hydroxyphenethylamine,HMDB0000875,Trigonelline,4102586.51787186,5.717,179650.220892395,5.717,0.999198597213072,0.0437895
isotope,190.1,130,HMDB0002302,Indole-3-propionic acid,HMDB0000446,N-alpha-Acetyl-L-lysine,1313075.08561955,6.031,12710.7258834527,6.031,0.999198026791089,0.009680121
isotope,217.1,158,HMDB0004620,N-a-Acetyl-L-arginine,HMDB0001885,3-Chlorotyrosine,226161.070940452,5.403,11441.0070024044,5.403,0.999184750261461,0.05058787
isobar,181.1,59,HMDB0000423,"3,4-Dihydroxyhydrocinnamic acid",HMDB0000765,Mannitol,90963.0238011811,5.747,99106.9319992112,5.747,0.999174112039423,1.08953
isobar,173.1,58,HMDB0006028,N-Acetylasparagine,HMDB0003357,N2-Acetylornithine,366103.130077051,5.998,36917.8963860426,5.998,0.999171012765147,0.1008402
isomer,167,123,HMDB0029644,"2',4',6'-Trihydroxyacetophenone",HMDB0000130,Homogentisic acid,1219898.56072574,4.05,797141.245960867,4.0815,0.999137796172903,0.6534488
isomer,159.1,97,HMDB0000555,3-Methyladipic acid,HMDB0002441,"3,3-Dimethylglutaric acid",4023066.20190227,3.673,48569.1420859294,3.673,0.99912919766452,0.01207267
isomer,167,123,HMDB0000130,Homogentisic acid,HMDB0029644,"2',4',6'-Trihydroxyacetophenone",5480937.04463471,3.0135,2558658.57233616,3.0135,0.999127992940585,0.4668287
fragment,101,57,HMDB0000005,2-Ketobutyric acid,HMDB0000208,Oxoglutaric acid,27818.6470155416,5.432,8415.83995247569,5.432,0.999123380946047,0.3025251
isomer,153,109,HMDB0029666,"2,4-Dihydroxybenzoic acid",HMDB0000152,Gentisic acid,857296.312857192,3.987,551102.259589158,3.987,0.999082057649496,0.6428375
isotope,133.1,70,HMDB0000214,Ornithine,HMDB0000172,L-Isoleucine,385608.817603357,5.466,2459.91029259763,5.466,0.999079920821769,0.00637929
fragment,147.1,84,HMDB0000641,L-Glutamine,HMDB0000446,N-alpha-Acetyl-L-lysine,1313075.08561955,6.031,154810.131676748,6.031,0.999079121738266,0.1178989
isomer,175,87,HMDB0000044,Ascorbic acid,HMDB0031193,"1,2,3-Propanetricarboxylic acid",212885.306681811,5.558,152146.252599291,5.558,0.999062079465065,0.7146865
isomer,124,78,HMDB0002243,Picolinic acid,HMDB0001488,Nicotinic acid,674701.110203058,4.837,148348.828328219,4.837,0.999055342454169,0.2198734
isobar,173,85,HMDB0000072,cis-Aconitic acid,HMDB0003070,Shikimic acid,61939.6841367679,5.495,6442.85864892305,5.495,0.999043824837909,0.1040183
fragment,162.1,85,HMDB0000062,L-Carnitine,HMDB0000962,Lipoamide,123007.73627543,3.016,5035.31368441875,3.016,0.999031605328045,0.04093493
fragment,150.1,104,HMDB0000696,L-Methionine,HMDB0011745,N-Acetyl-L-methionine,71465.078072071,4.649,123595.493683419,4.649,0.999023148583655,1.729453
isobar,191.1,85,HMDB0003072,Quinic acid,HMDB0000094,Citric acid,131172.752996624,5.5895,40020.4331907761,5.5895,0.999018654771931,0.3050972
isomer,129,85,HMDB0000634,Citraconic acid,HMDB0002092,Itaconic acid,31506.7766110666,5.495,77835.5673757557,5.495,0.998994323369139,2.470439
isomer,149.1,105,HMDB0011743,2-Phenylpropionate,HMDB0000764,Hydrocinnamic acid,88793.2496762113,4.0185,90525.4859573907,4.0185,0.998982879078406,1.019509
isobar,143.1,125,HMDB0000482,Caprylic acid,HMDB0001988,4-Hydroxycyclohexylcarboxylic acid,11974.1340344894,5.118,5850.28910693828,5.118,0.998948254850106,0.4885772
fragment,101,57,HMDB0000060,Acetoacetic acid,HMDB0000208,Oxoglutaric acid,27818.6470155416,5.432,7318.54012240059,5.432,0.998879016516279,0.2630804
fragment,114.1,44,HMDB0000562,Creatinine,HMDB0000064,Creatine,1617930.71807674,5.968,13949.5343045035,5.968,0.998865386046152,0.008621837
isomer,131.1,85,HMDB0001624,2-Hydroxycaproic acid,HMDB0000746,Hydroxyisocaproic acid,3081320.41595131,4.2075,3107614.13464284,4.2075,0.998863346543414,1.008533
isobar,115,71,HMDB0000720,Levulinic acid,HMDB0000176,Maleic acid,275128.140880412,3.3905,280622.000333749,3.3905,0.998838160191823,1.019968
isomer,193,59,HMDB0002545,Galacturonic acid,HMDB0000127,D-Glucuronic acid,70230.8810084401,5.5895,69301.524556919,5.5895,0.998806637584272,0.9867671
isomer,160,116,HMDB0002285,2-Indolecarboxylic acid,HMDB0003320,Indole-3-carboxylic acid,3462315.92501245,3.987,2493070.18039849,4.0185,0.998782393025416,0.7200585
fragment,109,108,HMDB0000957,Pyrocatechol,HMDB0001476,3-Hydroxyanthranilic acid,291983.556769101,4.616,23124.3194436285,4.616,0.998771382492413,0.07919733
isotope,190.1,84,HMDB0001138,N-Acetyl-L-glutamic acid,HMDB0000206,N6-Acetyl-L-lysine,1503996.462101,5.78,50320.7908258128,5.78,0.998758223389987,0.03345805
fragment,87,43,HMDB0000243,Pyruvic acid,HMDB0000956,Tartaric acid,70113.6120385036,5.558,5479.37747137612,5.558,0.9987573861398,0.07814998
isotope,167,123,HMDB0000130,Homogentisic acid,HMDB0000232,Quinolinic acid,135186.535702633,5.558,8627.22729999931,5.558,0.998719902320352,0.06381721
isotope,509,137,HMDB0000189,Inosine triphosphate,HMDB0000538,Adenosine triphosphate,313772.695986772,5.654,80118.736357388,5.654,0.99871406839947,0.2553401
isomer,90.1,44,HMDB0000271,Sarcosine,HMDB0000161,L(D)-Alanine,9498.62050144798,5.9365,10520.0375490925,5.968,0.998690521345099,1.107533
isobar,133.1,70,HMDB0000214,Ornithine,HMDB0000026,Ureidopropionic acid,11099.5191914671,5.403,273.111736509732,5.403,0.998659284458411,0.02460573
isotope,190.1,130,HMDB0029738,Indole-3-methyl acetate,HMDB0000206,N6-Acetyl-L-lysine,1503996.462101,5.78,1927.99450651029,5.78,0.998649455359908,0.001281914
isobar,149.1,105,HMDB0011743,2-Phenylpropionate,HMDB0000956,Tartaric acid,70113.6120385036,5.558,5380.69910257283,5.558,0.998644062550769,0.07674257
isomer,103,57,HMDB0000729,alpha-Hydroxyisobutyric acid,HMDB0000008,2-Hydroxybutyric acid,55169.0298137668,4.741,56951.430176968,4.741,0.998632717941267,1.032308
isomer,148.1,88,HMDB0002393,N-Methyl-D-aspartic acid,HMDB0003011,O-Acetylserine,55834.3953751886,5.529,28151.100100494,5.529,0.998625275896087,0.5041892
fragment,102.1,56,HMDB0036458,1-Aminocyclopropanecarboxylic acid,HMDB0011745,N-Acetyl-L-methionine,71465.078072071,4.649,6007.90175676973,4.649,0.998618304690191,0.08406766
isomer,159.1,97,HMDB0000555,3-Methyladipic acid,HMDB0000857,Pimelic acid,86344.3435378264,5.401,83000.625645835,5.401,0.998604749065094,0.9612746
isomer,173,85,HMDB0000958,trans-Aconitic acid,HMDB0000072,cis-Aconitic acid,211013.553494087,5.558,182112.901312176,5.558,0.998601992297854,0.8630389
fragment,136.1,119,HMDB0000034,Adenine,HMDB0000101,Deoxyadenosine,2243645.6449323,4.837,1566537.39637011,4.837,0.998598215451689,0.6982107
fragment,90.1,72,HMDB0000056,beta-Alanine,HMDB0000026,Ureidopropionic acid,11099.5191914671,5.403,6680.52653202633,5.403,0.998598049763692,0.6018753
isomer,222.1,138,HMDB0000215,N-Acetyl-D-glucosamine,HMDB0001129,N-Acetylmannosamine,6086.32367894898,5.466,4717.36251536206,5.466,0.998596832218475,0.7750759
isotope,166,122,HMDB0000232,Quinolinic acid,HMDB0033752,3-(2-Hydroxyphenyl)propanoic acid,504213.749354348,3.234,27341.7110425611,3.234,0.998579438591652,0.05422643
isotope,138.1,92,HMDB0000875,Trigonelline,HMDB0000699,1-Methylnicotinamide,14388877.9218741,9.424,106092.843166767,9.424,0.998529427045421,0.007373253
fragment,171.1,127,HMDB0000721,Glycylproline,HMDB0001451,(R)-Lipoic acid,272500.80477902,4.05,139403.421298192,4.05,0.998502282810284,0.5115707
isomer,177,129,HMDB0000150,Gluconolactone,HMDB0003466,L-Gulonolactone,85291.3753255734,5.0865,44587.2029720602,5.055,0.998491722772704,0.5227633
isotope,160,116,HMDB0002285,2-Indolecarboxylic acid,HMDB0002441,"3,3-Dimethylglutaric acid",4023066.20190227,3.673,54981.3593168768,3.673,0.998435440147518,0.01366653
isotope,166,122,HMDB0000232,Quinolinic acid,HMDB0002199,Desaminotyrosine,48578.6261932865,4.553,4079.02703284929,4.553,0.99840886889935,0.08396753
fragment,174.1,128,HMDB0000842,Quinaldic acid,HMDB0004095,5-Methoxytryptamine,491468.361474324,5.214,25710.4661213981,5.214,0.998397301381472,0.05231357
fragment,106,60,HMDB0000187,L(D)-Serine,HMDB0003011,O-Acetylserine,55834.3953751886,5.529,39668.2075460999,5.529,0.998368316991023,0.7104618
fragment,181.1,135,HMDB0003269,Nicotinuric acid,HMDB0000609,DL-Dopa,178570.974141822,5.905,31301.666330268,5.905,0.998364786431918,0.1752898
isomer,141,53,HMDB0006331,"cis,cis-Muconic acid",HMDB0002349,trans-trans-Muconic acid,9424.30612826301,5.432,9422.12336944262,5.432,0.998317804223459,0.9997684
isobar,170,124,HMDB0002757,Cysteic acid,HMDB0000239,Pyridoxine,1503204.86898097,4.649,9268.819818929,4.649,0.99831468256744,0.006166039
fragment,170.1,134,HMDB0000239,Pyridoxine,HMDB0001885,3-Chlorotyrosine,226161.070940452,5.403,254596.600109388,5.403,0.99829711356983,1.125731
fragment,174.1,128,HMDB0000842,Quinaldic acid,HMDB0000684,L-Kynurenine,212067.61274034,5.34,38034.4819349687,5.34,0.998215387473072,0.1793507
isomer,141,53,HMDB0002349,trans-trans-Muconic acid,HMDB0006331,"cis,cis-Muconic acid",4955.13939264846,5.432,4860.44619866071,5.432,0.998207408041603,0.9808899
isotope,176.1,70,HMDB0000904,Citrulline,HMDB0000517,L-Arginine,1151213.38982953,9.612,40896.6717232869,9.612,0.998191072125845,0.03552484
isomer,180.1,162,PBCM0000440049,"(2R,3R,4S,5R)-2-amino-3,4,5,6-tetrahydroxyhexanal",HMDB0001514,Glucosamine,139975.181203173,6.1885,132928.097065408,6.157,0.998139017951549,0.9496548
